iEta,iPhi,Depth,RM,RM fiber,channel,Best DAC setting,Best mean pedestal,Error on mean pedestal
27,65,3,3,4,2,38,35.1,3.5
27,63,4,2,4,4,39,34.5,3.5
27,65,4,3,6,1,38,35.7,3.6
27,63,5,2,5,2,36,37.6,3.8
27,65,5,3,4,1,36,36.8,3.7
27,63,6,2,5,3,35,37.4,3.7
27,65,6,3,4,5,35,35.3,3.5
27,63,7,2,5,0,38,33.5,3.4
27,65,7,3,4,3,38,35.8,3.6
28,63,1,1,2,1,39,38.5,3.9
28,65,1,4,7,1,38,37.8,3.8
28,63,2,1,4,0,37,38.3,3.8
28,65,2,4,5,5,39,38.2,3.8
28,63,3,1,4,2,38,35.6,3.6
28,65,3,4,5,1,37,34.3,3.4
28,63,4,1,6,1,36,38.0,3.8
28,65,4,4,4,4,38,33.6,3.4
28,63,5,1,4,1,34,38.4,3.8
28,65,5,4,5,2,38,38.3,3.8
28,63,6,1,4,5,35,37.5,3.8
28,65,6,4,5,3,38,32.5,3.3
28,63,7,1,4,3,37,34.2,3.4
28,65,7,4,5,0,34,35.1,3.5
29,63,1,1,2,0,34,34.2,3.4
29,65,1,4,7,0,39,35.3,3.5
29,63,2,1,2,5,34,38.2,3.8
29,65,2,4,7,5,36,34.1,3.4
29,63,3,2,5,4,37,34.0,3.4
29,65,3,3,4,4,39,37.7,3.8
